statuses_count,followers_count,friends_count,favourites_count,listed_count,verified_true,verified_false,protected_true,protected_false,isGenuine
21105,415,481,248,1,0,1,0,1,1
19515,689,470,2463,26,0,1,0,1,1
1000,108,155,1326,0,0,1,0,1,1
2310,651,744,941,4,0,1,0,1,1
1182,220,1040,1388,7,0,1,0,1,1
615,2544,262,979,4,0,1,0,1,1
21207,631,213,408,12,0,1,0,1,1
37989,451,268,3140,9,0,1,0,1,1
11452,389,297,5456,0,0,1,0,1,1
43447,1068,822,8097,2,0,1,0,1,1
17447,1953,1199,16715,15,0,1,0,1,1
15809,385,353,4688,5,0,1,0,1,1
3559,99,105,663,0,0,1,0,1,1
4059,599,585,105,8,0,1,0,1,1
87311,1878,1882,330,17,0,1,0,1,1
13635,665,1168,4724,16,0,1,0,1,1
23799,462,272,4116,10,0,1,0,1,1
4282,32,114,6,3,0,1,0,1,1
36093,422,326,12075,7,0,1,0,1,1
3028,1915,1804,1441,72,0,1,0,1,1
69,100,214,170,1,0,1,0,1,1
157,23,102,23,0,0,1,0,1,1
6747,592,254,7636,3,0,1,0,1,1
5414,486,305,2526,1,0,1,0,1,1
5051,167,351,80,4,0,1,0,1,1
29146,1347,736,2728,15,0,1,0,1,1
9550,500,416,9175,4,0,1,0,1,1
718,118,224,180,2,0,1,0,1,1
5939,720,727,420,6,0,1,0,1,1
1271,14,38,62,0,0,1,0,1,1
28255,1439,755,1983,3,0,1,0,1,1
3259,175,116,1297,0,0,1,0,1,1
15595,1280,1985,3786,5,0,1,0,1,1
549,508,892,401,15,0,1,0,1,1
2583,280,337,4537,0,0,1,0,1,1
44376,790,159,5517,18,0,1,0,1,1
108575,15305,1543,11161,132,0,1,0,1,1
1107,121,231,572,0,0,1,0,1,1
2713,61,52,1032,1,0,1,0,1,1
811,34,351,656,0,0,1,0,1,1
5290,298,243,654,3,0,1,0,1,1
82094,7689,207,30086,229,0,1,0,1,1
133,72,460,146,0,0,1,0,1,1
10221,458,395,1813,3,0,1,0,1,1
50540,3491,3296,19086,72,0,1,0,1,1
95069,1045,350,49312,20,0,1,0,1,1
24117,788,405,6725,16,0,1,0,1,1
1303,147,138,71,4,0,1,0,1,1
80,3,50,27,0,0,1,0,1,1
8234,536,397,2684,0,0,1,0,1,1
28655,462,290,413,15,0,1,0,1,1
9561,417,258,1130,0,0,1,0,1,1
44535,314,290,16169,1,0,1,0,1,1
496,62,95,70,0,0,1,0,1,1
325,101,230,20,0,0,1,0,1,1
6877,247,838,1915,3,0,1,0,1,1
2647,604,296,170,0,0,1,0,1,1
3719,220,198,255,0,0,1,0,1,1
6629,286,127,1110,2,0,1,0,1,1
894,55,65,43,1,0,1,0,1,1
31414,344,318,123,6,0,1,0,1,1
10171,369,259,3192,0,0,1,0,1,1
11133,6897,3735,22522,1,0,1,0,1,1
14376,363,306,1753,1,0,1,0,1,1
30812,252,234,45,7,0,1,0,1,1
1311,169,342,347,1,0,1,0,1,1
177,41,154,39,0,0,1,0,1,1
17348,321,231,7932,1,0,1,0,1,1
176950,35379,587,241,485,0,1,0,1,1
265,26,107,442,0,0,1,0,1,1
2127,229,262,510,0,0,1,0,1,1
41271,15171,210,7721,174,0,1,0,1,1
1876,334,912,587,0,0,1,0,1,1
1197,28,98,223,0,0,1,0,1,1
1318,166,233,615,0,0,1,0,1,1
13209,204,115,3414,4,0,1,0,1,1
84124,1575,1601,9220,21,0,1,0,1,1
1410,844,1416,111,24,0,1,0,1,1
85,74,121,307,0,0,1,0,1,1
25279,495,628,432,16,0,1,0,1,1
462,370,548,36,1,0,1,0,1,1
24063,662,208,56035,19,0,1,0,1,1
2449,148,134,495,0,0,1,0,1,1
19678,423,261,10626,4,0,1,0,1,1
9510,1087,1096,4279,0,0,1,0,1,1
4353,157,168,2083,0,0,1,0,1,1
2630,76,158,632,1,0,1,0,1,1
249449,5169,3418,14341,218,0,1,0,1,1
24457,841,482,7231,1,0,1,0,1,1
32407,2418,2465,7282,90,0,1,0,1,1
79,8,24,23,0,0,1,0,1,1
1515,3656,238,24,14,0,1,0,1,1
361,60,223,99,0,0,1,0,1,1
2689,380,155,27,0,0,1,0,1,1
30259,1767,120,6774,14,0,1,0,1,1
8058,672,717,610,4,0,1,0,1,1
1382,520,1302,1143,1,0,1,0,1,1
26478,552,427,2975,0,0,1,0,1,1
5352,384,187,877,2,0,1,0,1,1
52423,1940,305,14166,180,0,1,0,1,1
242,187,152,86,2,0,1,0,1,1
2964,165,647,776,5,0,1,0,1,1
1975,527,1778,196,15,0,1,0,1,1
125,296,435,1071,0,0,1,0,1,1
160,165,574,31,1,0,1,0,1,1
10423,169,313,6879,1,0,1,0,1,1
3517,274,635,1126,7,0,1,0,1,1
1926,341,294,1451,0,0,1,0,1,1
2391,148,258,943,0,0,1,0,1,1
776,196,134,379,0,0,1,0,1,1
60715,616,604,3281,6,0,1,0,1,1
2178,93,210,88,1,0,1,0,1,1
6641,1471,1977,7841,52,0,1,0,1,1
1296,351,422,682,0,0,1,0,1,1
500,108,151,2027,0,0,1,0,1,1
162921,1249,1724,1794,56,0,1,0,1,1
23663,473,457,2988,2,0,1,0,1,1
94113,1357,520,91458,17,0,1,0,1,1
7811,244,242,5385,3,0,1,0,1,1
7051,189,206,2449,1,0,1,0,1,1
5210,641,426,1678,1,0,1,0,1,1
711,49,205,74,0,0,1,0,1,1
24257,510,322,8884,2,0,1,0,1,1
45,41,219,76,0,0,1,0,1,1
80156,1962,1094,1873,7,0,1,0,1,1
2685,167,156,1888,1,0,1,0,1,1
4952,22,301,150,0,0,1,0,1,1
160869,1592,1303,631,19,0,1,0,1,1
13,13,51,20,1,0,1,0,1,1
61850,836,688,872,1,0,1,0,1,1
78397,1712,1009,4558,10,0,1,0,1,1
5297,1331,1943,63,44,0,1,0,1,1
4156,1242,1999,59,3,0,1,0,1,1
22364,1236,624,16114,9,0,1,0,1,1
23056,433,288,27152,0,0,1,0,1,1
12230,1203,2001,5542,4,0,1,0,1,1
26559,326,264,7777,0,0,1,0,1,1
23645,1008,1756,897,66,0,1,0,1,1
94769,1477,908,126,1,0,1,0,1,1
37857,372,547,663,6,0,1,0,1,1
5279,244,275,707,1,0,1,0,1,1
1002,302,275,1075,2,0,1,0,1,1
104,122,435,60,1,0,1,0,1,1
2348,193,191,387,0,0,1,0,1,1
32443,491,208,5631,1,0,1,0,1,1
4265,171,129,1838,0,0,1,0,1,1
2117,370,330,4254,1,0,1,0,1,1
14524,349,333,642,1,0,1,0,1,1
1049,53,186,439,0,0,1,0,1,1
10383,374,372,137,15,0,1,0,1,1
125,23,84,18,0,0,1,0,1,1
306,330,336,43,7,0,1,0,1,1
16064,41442,4967,3079,80,0,1,0,1,1
6509,315,317,4396,3,0,1,0,1,1
19697,746,237,66,25,0,1,0,1,1
1916,221,265,2412,1,0,1,0,1,1
8158,158,347,5043,2,0,1,0,1,1
107367,2856,265,14885,24,0,1,0,1,1
62631,52287,209,19,1342,0,1,0,1,1
48397,1824,758,12787,8,0,1,0,1,1
15449,572,481,4311,0,0,1,0,1,1
22761,4056,101,10680,3,0,1,0,1,1
3085,183,221,3183,2,0,1,0,1,1
78,56,216,53,1,0,1,0,1,1
4416,168,212,5707,0,0,1,0,1,1
11770,1577,678,634,47,0,1,0,1,1
40408,308,149,1446,0,0,1,0,1,1
54344,27856,756,291,605,0,1,0,1,1
3078,309,421,13980,0,0,1,0,1,1
14018,1155,809,4376,3,0,1,0,1,1
3833,135,327,2951,2,0,1,0,1,1
487,195,863,147,1,0,1,0,1,1
2501,118,109,218,0,0,1,0,1,1
2984,1450,1798,316,41,0,1,0,1,1
14879,1080,1996,10479,3,0,1,0,1,1
16425,550,377,12316,14,0,1,0,1,1
263,647,198,3213,2,0,1,0,1,1
66,15,49,129,0,0,1,0,1,1
3621,73,71,156,0,0,1,0,1,1
780,147,171,1004,1,0,1,0,1,1
9209,439,564,1187,23,0,1,0,1,1
86825,1050,145,134,35,0,1,0,1,1
410,85,179,133,0,0,1,0,1,1
52736,1293,1226,13256,6,0,1,0,1,1
253,144,185,1030,0,0,1,0,1,1
19036,423,427,1558,21,0,1,0,1,1
2173,394,1012,2072,5,0,1,0,1,1
5561,57,185,342,1,0,1,0,1,1
5042,331,261,1303,1,0,1,0,1,1
52000,465,272,4079,1,0,1,0,1,1
313,101,173,48,0,0,1,0,1,1
468,54,97,38,1,0,1,0,1,1
1745,289,215,3,26,0,1,0,1,1
63440,986,658,161,40,0,1,0,1,1
89,41,284,28,1,0,1,0,1,1
2631,255,169,1041,0,0,1,0,1,1
5816,359,441,14514,1,0,1,0,1,1
24185,558,354,3575,3,0,1,0,1,1
11182,280,285,11857,3,0,1,0,1,1
1323,333,272,4063,0,0,1,0,1,1
9496,134,425,3895,1,0,1,0,1,1
1102,202,258,20,18,0,1,0,1,1
25639,1187,434,26323,4,0,1,0,1,1
9053,195,135,4675,1,0,1,0,1,1
15793,549,307,13755,2,0,1,0,1,1
1353,133,98,311,0,0,1,0,1,1
1325,256,313,963,0,0,1,0,1,1
6607,245,151,1103,2,0,1,0,1,1
78147,1059,713,880,42,0,1,0,1,1
14281,1261,1147,130,18,0,1,0,1,1
21241,363,342,12761,9,0,1,0,1,1
14412,137,177,1632,0,0,1,0,1,1
7849,189,231,237,3,0,1,0,1,1
1431,224,302,48,7,0,1,0,1,1
8260,333,324,8478,3,0,1,0,1,1
2466,3913,165,156,96,0,1,0,1,1
247,51,382,50,4,0,1,0,1,1
6882,69,35,35,3,0,1,0,1,1
10532,285,341,396,0,0,1,0,1,1
61,2,20,9,0,0,1,0,1,1
1026,205,529,365,0,0,1,0,1,1
2249,304,194,2472,1,0,1,0,1,1
1277,315,253,440,1,0,1,0,1,1
16439,691,458,11204,12,0,1,0,1,1
4049,305,211,4008,7,0,1,0,1,1
4871,1734,511,294,38,0,1,0,1,1
1380,563,1670,2664,4,0,1,0,1,1
4558,973,1165,2042,41,0,1,0,1,1
34060,840,1242,26235,19,0,1,0,1,1
57581,153,97,7254,8,0,1,0,1,1
9548,162,168,842,1,0,1,0,1,1
14374,1175,851,7304,4,0,1,0,1,1
12689,523,495,14337,0,0,1,0,1,1
651,26,62,8,0,0,1,0,1,1
2622,191,189,554,0,0,1,0,1,1
5297,689,464,1035,0,0,1,0,1,1
24,15,49,24,0,0,1,0,1,1
2662,312,709,439,4,0,1,0,1,1
34050,1263,774,12660,4,0,1,0,1,1
11570,503,493,2511,5,0,1,0,1,1
6716,126,63,3727,3,0,1,0,1,1
7638,482,99,2028,1,0,1,0,1,1
437,113,167,207,0,0,1,0,1,1
50832,2621,1105,33353,69,0,1,0,1,1
1560,350,106,806,35,0,1,0,1,1
610,1149,1995,32,61,0,1,0,1,1
869,60,116,1215,0,0,1,0,1,1
22664,576,323,6591,6,0,1,0,1,1
12386,237,187,413,3,0,1,0,1,1
26783,22452,24691,195,492,0,1,0,1,1
10259,1070,357,4409,12,0,1,0,1,1
3263,77,72,183,1,0,1,0,1,1
31040,453,672,28037,6,0,1,0,1,1
7727,1118,755,254,3,0,1,0,1,1
16,86,207,52,1,0,1,0,1,1
317,24,148,0,0,0,1,0,1,1
3830,331,622,2559,0,0,1,0,1,1
11256,1249,1746,320,64,0,1,0,1,1
2671,397,496,2820,0,0,1,0,1,1
1128,382,393,1643,4,0,1,0,1,1
2599,67,157,199,0,0,1,0,1,1
2208,455,393,10609,1,0,1,0,1,1
16828,384,345,464,5,0,1,0,1,1
1977,124,304,461,2,0,1,0,1,1
57,31,117,17,0,0,1,0,1,1
5024,765,961,914,1,0,1,0,1,1
19707,344,434,29,12,0,1,0,1,1
1797,82,579,57,2,0,1,0,1,1
2304,143,569,507,1,0,1,0,1,1
10977,687,600,5462,3,0,1,0,1,1
5144,330,71,1815,3,0,1,0,1,1
1041,1086,256,132,4,0,1,0,1,1
6095,710,373,539,6,0,1,0,1,1
3201,609,1493,2189,11,0,1,0,1,1
17013,808,985,692,36,0,1,0,1,1
23443,4326,231,6749,24,0,1,0,1,1
2050,220,310,1112,1,0,1,0,1,1
134008,4411,841,278,14,0,1,0,1,1
3366,275,1260,630,4,0,1,0,1,1
1572,2736,2247,8804,7,0,1,0,1,1
32547,716,610,5231,1,0,1,0,1,1
27242,548,492,1228,3,0,1,0,1,1
23729,606,270,231,39,0,1,0,1,1
2775,249,271,2585,1,0,1,0,1,1
27,13,49,27,0,0,1,0,1,1
612,103,196,1648,0,0,1,0,1,1
11864,583,407,2007,0,0,1,0,1,1
3757,410,277,3528,0,0,1,0,1,1
5716,271,261,2452,6,0,1,0,1,1
14542,1029,552,14512,73,0,1,0,1,1
1471,171,212,1066,1,0,1,0,1,1
858,59,124,1194,0,0,1,0,1,1
5471,243,304,415,4,0,1,0,1,1
3094,390,376,4138,1,0,1,0,1,1
1889,123,340,873,0,0,1,0,1,1
2911,78,13,1062,4,0,1,0,1,1
41,3,36,5,0,0,1,0,1,1
48285,938,771,66,15,0,1,0,1,1
412,32,33,78,2,0,1,0,1,1
30783,515,846,36557,10,0,1,0,1,1
8793,637,915,570,0,0,1,0,1,1
9052,758,971,5013,0,0,1,0,1,1
27401,307,281,2392,2,0,1,0,1,1
7184,143,124,740,0,0,1,0,1,1
2689,473,448,1670,8,0,1,0,1,1
3101,126,158,179,1,0,1,0,1,1
57117,1732,1094,5807,110,0,1,0,1,1
16004,590,894,806,12,0,1,0,1,1
16527,1199,795,8579,1,0,1,0,1,1
10924,578,185,13651,13,0,1,0,1,1
91288,1266,2001,7796,9,0,1,0,1,1
152040,1478,538,21351,29,0,1,0,1,1
115585,3877,4241,11610,128,0,1,0,1,1
14632,491,497,5714,9,0,1,0,1,1
4282,315,311,6284,0,0,1,0,1,1
44807,951,1011,843,55,0,1,0,1,1
26577,2474,224,1962,77,0,1,0,1,1
1784,140,159,971,0,0,1,0,1,1
18047,407,420,7514,4,0,1,0,1,1
2071,283,225,956,1,0,1,0,1,1
23023,450,426,6462,7,0,1,0,1,1
38140,1098,525,4264,68,0,1,0,1,1
2218,182,120,258,1,0,1,0,1,1
8890,230,222,3271,2,0,1,0,1,1
10292,582,575,1946,0,0,1,0,1,1
101,18,19,19,2,0,1,0,1,1
21475,863,2002,21746,84,0,1,0,1,1
124434,1818,1985,7452,41,0,1,0,1,1
3482,232,236,957,1,0,1,0,1,1
25541,586,297,10127,0,0,1,0,1,1
7558,469,325,277,0,0,1,0,1,1
430,51,71,175,0,0,1,0,1,1
1141,270,171,40,12,0,1,0,1,1
3189,219,309,238,3,0,1,0,1,1
230131,1994,496,165741,29,0,1,0,1,1
3134,107,640,577,5,0,1,0,1,1
37955,465,538,2763,1,0,1,0,1,1
137087,2134,1594,1021,16,0,1,0,1,1
3184,428,467,2865,0,0,1,0,1,1
63771,1333,826,789,2,0,1,0,1,1
7878,1415,2036,336,125,0,1,0,1,1
3101,345,219,1169,4,0,1,0,1,1
10107,309,13,33,0,0,1,0,1,1
156620,1103,642,35530,32,0,1,0,1,1
750,104,102,266,6,0,1,0,1,1
8359,86922,622,3373,614,0,1,0,1,1
20641,7665,2576,538,23,0,1,0,1,1
194,22,407,79,1,0,1,0,1,1
4824,117,247,619,1,0,1,0,1,1
16670,219,518,246,7,0,1,0,1,1
56,15,28,0,0,0,1,0,1,1
17418,523,172,5160,3,0,1,0,1,1
9576,97,158,3523,0,0,1,0,1,1
18506,230,125,1564,1,0,1,0,1,1
2733,177,239,2510,2,0,1,0,1,1
27689,1282,838,4067,11,0,1,0,1,1
543,50,57,38,3,0,1,0,1,1
24580,1057,484,3245,6,0,1,0,1,1
27608,1061,313,180,25,0,1,0,1,1
908,190,218,452,1,0,1,0,1,1
6478,938,878,8353,3,0,1,0,1,1
5332,449,369,234,7,0,1,0,1,1
7511,113,97,196,6,0,1,0,1,1
17879,404,396,29,1,0,1,0,1,1
5459,1234,1996,4477,26,0,1,0,1,1
3423,620,468,984,1,0,1,0,1,1
13444,511,231,90,1,0,1,0,1,1
1219,127,148,678,1,0,1,0,1,1
17862,564,1085,66,21,0,1,0,1,1
5438,56,255,95,1,0,1,0,1,1
3098,2506,1991,229,194,0,1,0,1,1
13382,564,169,723,0,0,1,0,1,1
9457,46,163,486,1,0,1,0,1,1
589,170,295,12,0,0,1,0,1,1
24758,1216,842,15658,9,0,1,0,1,1
1121,89,147,864,7,0,1,0,1,1
944,81,92,1697,0,0,1,0,1,1
471,72,229,81,0,0,1,0,1,1
3839,226,419,1197,3,0,1,0,1,1
10215,557,998,14198,14,0,1,0,1,1
15970,459,198,2869,2,0,1,0,1,1
4537,486,591,3590,11,0,1,0,1,1
182,204,1221,48,2,0,1,0,1,1
16010,22513,15257,803,28,0,1,0,1,1
4629,489,102,10957,0,0,1,0,1,1
4772,452,389,3744,1,0,1,0,1,1
348,20,67,100,0,0,1,0,1,1
1826,78,712,302,1,0,1,0,1,1
15767,408,411,381,2,0,1,0,1,1
6564,337,346,9247,0,0,1,0,1,1
4834,240,175,2901,1,0,1,0,1,1
6782,341,322,141,2,0,1,0,1,1
48449,4825,4572,309,30,0,1,0,1,1
16318,378,624,3248,4,0,1,0,1,1
178,60,100,26,0,0,1,0,1,1
383,241,345,659,1,0,1,0,1,1
2024,1512,1030,0,15,0,1,0,1,1
1184,33,82,1230,6,0,1,0,1,1
54809,1037,1179,11381,4,0,1,0,1,1
37358,92,215,37,8,0,1,0,1,1
10348,466,186,1585,1,0,1,0,1,1
283,60,180,266,1,0,1,0,1,1
19236,495,516,3712,10,0,1,0,1,1
6250,227,453,1993,1,0,1,0,1,1
9284,342,334,13425,1,0,1,0,1,1
311,136,156,603,0,0,1,0,1,1
13825,285,100,8089,1,0,1,0,1,1
20276,187,180,45,7,0,1,0,1,1
63388,2166,1996,4139,3,0,1,0,1,1
18263,491,886,9310,16,0,1,0,1,1
2458,117,373,41,5,0,1,0,1,1
21288,2032,736,1077,4,0,1,0,1,1
45234,876,410,3006,16,0,1,0,1,1
189,29,109,3,0,0,1,0,1,1
57528,286,47,57,2,0,1,0,1,1
16975,183,300,30,1,0,1,0,1,1
4120,267,241,896,2,0,1,0,1,1
3141,399,99,31,3,0,1,0,1,1
22488,375,162,1941,7,0,1,0,1,1
81569,1227,273,735,5,0,1,0,1,1
1865,69,102,1205,0,0,1,0,1,1
321,5,14,19,0,0,1,0,1,1
2081,6,2,6,1,0,1,0,1,1
2034,319,469,655,4,0,1,0,1,1
179448,2681,2700,168011,94,0,1,0,1,1
7679,289,320,1756,1,0,1,0,1,1
28337,992,1064,18896,1,0,1,0,1,1
9596,1375,1079,429,98,0,1,0,1,1
2325,247,980,1740,3,0,1,0,1,1
44646,29139,906,2809,1277,0,1,0,1,1
30450,2313,441,2193,93,0,1,0,1,1
244,109,81,3,0,0,1,0,1,1
5573,1117,142,5202,4,0,1,0,1,1
2885,304,189,3,0,0,1,0,1,1
15926,794,645,182,5,0,1,0,1,1
24064,359,248,2905,0,0,1,0,1,1
25177,351,135,24,1,0,1,0,1,1
1728,387,1217,997,3,0,1,0,1,1
1157,135,108,2309,0,0,1,0,1,1
398,144,387,18,9,0,1,0,1,1
12037,358,225,5742,0,0,1,0,1,1
24875,1639,1997,8372,39,0,1,0,1,1
43,46,183,32,0,0,1,0,1,1
53591,6375,6995,24446,153,0,1,0,1,1
19835,385,278,4775,4,0,1,0,1,1
315,317,629,121,1,0,1,0,1,1
2514,967,1003,276,49,0,1,0,1,1
54857,14844,139,2724,145,0,1,0,1,1
2108,250,422,536,1,0,1,0,1,1
36,36,229,41,0,0,1,0,1,1
87493,1604,141,21397,20,0,1,0,1,1
1378,429,1989,983,6,0,1,0,1,1
7411,628,604,3623,2,0,1,0,1,1
4605,581,316,3730,0,0,1,0,1,1
4041,664,526,12721,4,0,1,0,1,1
3268,141,311,39,2,0,1,0,1,1
5125,806,723,26589,39,0,1,0,1,1
7492,1860,1968,3783,4,0,1,0,1,1
12138,263,168,1977,3,0,1,0,1,1
4738,524,397,1594,1,0,1,0,1,1
8213,642,675,18265,5,0,1,0,1,1
17952,277,417,8186,6,0,1,0,1,1
8896,614,1170,275,13,0,1,0,1,1
4741,111,85,1061,0,0,1,0,1,1
1148,82,157,38,8,0,1,0,1,1
17939,377,367,5895,1,0,1,0,1,1
47690,1685,1048,443,1,0,1,0,1,1
2061,106,153,107,1,0,1,0,1,1
15398,193,78,498,2,0,1,0,1,1
9040,85,144,35,5,0,1,0,1,1
408,144,187,261,0,0,1,0,1,1
12533,164,154,2618,0,0,1,0,1,1
64168,393,195,34711,5,0,1,0,1,1
3159,193,80,856,2,0,1,0,1,1
77001,1574,1427,10150,13,0,1,0,1,1
6566,188,216,5359,1,0,1,0,1,1
4504,374,1032,667,3,0,1,0,1,1
2187,482,240,6631,0,0,1,0,1,1
10212,193,184,7184,0,0,1,0,1,1
54081,4143,2518,52212,3,0,1,0,1,1
1952,1745,1997,777,30,0,1,0,1,1
28,90,536,315,3,0,1,0,1,1
10158,1466,1321,1277,1,0,1,0,1,1
277,26,76,9,0,0,1,0,1,1
5136,442,289,2759,1,0,1,0,1,1
135,42,55,0,1,0,1,0,1,1
2171,189,129,2777,1,0,1,0,1,1
6325,1102,1,16,16,0,1,0,1,1
7553,95,112,924,1,0,1,0,1,1
108,45,74,204,0,0,1,0,1,1
19532,483,241,3124,2,0,1,0,1,1
5838,274,1150,639,7,0,1,0,1,1
47956,1299,2001,3538,37,0,1,0,1,1
5471,235,249,348,9,0,1,0,1,1
24109,1339,483,5434,0,0,1,0,1,1
306,203,18,6407,3,0,1,0,1,1
81000,1423,1360,10556,9,0,1,0,1,1
977,212,400,370,0,0,1,0,1,1
2773,362,487,2732,0,0,1,0,1,1
5361,435,375,1193,0,0,1,0,1,1
3278,204,459,396,11,0,1,0,1,1
10788,4685,4647,1816,118,0,1,0,1,1
16763,118,98,134,3,0,1,0,1,1
13698,334,223,14881,2,0,1,0,1,1
15840,1532,517,983,9,0,1,0,1,1
5862,484,839,4751,1,0,1,0,1,1
4251,806,659,6059,1,0,1,0,1,1
8106,499,506,878,0,0,1,0,1,1
8703,385,194,774,2,0,1,0,1,1
5,24,34,9,0,0,1,0,1,1
4160,191,257,978,6,0,1,0,1,1
328921,59178,32791,9539,2083,0,1,0,1,1
23657,380,333,43,1,0,1,0,1,1
1350,227,786,33,3,0,1,0,1,1
19960,198,288,2110,6,0,1,0,1,1
19764,777,587,4043,1,0,1,0,1,1
57,39,53,53,0,0,1,0,1,1
1186,144,193,1206,0,0,1,0,1,1
40985,1238,1108,6619,3,0,1,0,1,1
990,712,859,223,22,0,1,0,1,1
279,60,119,68,0,0,1,0,1,1
49363,2084,1028,6356,45,0,1,0,1,1
677,152,320,912,0,0,1,0,1,1
5343,159,273,10225,1,0,1,0,1,1
49648,592,392,2313,2,0,1,0,1,1
5961,326,303,182,9,0,1,0,1,1
525,36,71,53,0,0,1,0,1,1
23145,594,731,12009,26,0,1,0,1,1
10218,3152,2522,339,86,0,1,0,1,1
32984,789,271,1050,5,0,1,0,1,1
63739,23717,189,27024,107,0,1,0,1,1
608,15,101,1,0,0,1,0,1,1
22837,211,700,6529,8,0,1,0,1,1
29978,1706,653,9022,2,0,1,0,1,1
59918,1377,209,3997,10,0,1,0,1,1
16111,344,201,95,2,0,1,0,1,1
1679,79,262,254,3,0,1,0,1,1
421,147,466,701,0,0,1,0,1,1
28098,2317,1130,7162,78,0,1,0,1,1
3588,474,255,371,9,0,1,0,1,1
1096,71,187,533,0,0,1,0,1,1
5852,398,584,2295,1,0,1,0,1,1
32572,68,68,1534,2,0,1,0,1,1
51563,1301,993,313954,64,0,1,0,1,1
3484,408,244,174,0,0,1,0,1,1
7936,2622,2183,7212,2,0,1,0,1,1
20326,199,67,12821,1,0,1,0,1,1
